Satellite_Name,Channel_Name,Encryption
Galaxy 30,USA Network West,PowerVu
Galaxy 37 (Horizons 4),USA Network West,PowerVu
Hotbird 13F,Real Time Italia,Conax
Hotbird 13F,Real Time Italia,Nagravision
Hotbird 13F,Real Time Italia,Videoguard
ST 2,9X Jhakaas,VerimatrixB
ST 2,9X Jhakaas,Conax
ST 2,9X Jhakaas,Irdeto
ST 2,9X Jhakaas,Videoguard
G-Sat 30,9X Jhakaas,Irdeto
G-Sat 30,9X Jhakaas,Videoguard
SES 7,DD Bharati,Irdeto
SES 7,DD Bharati,Videoguard
Measat 3b,DD Bharati,Irdeto
Amos 4,DD Bharati,Conax
Amos 4,DD Bharati,Latens
Amos 4,DD Bharati,Verimatrix
Bangabandhu 1,BTV World,Irdeto
SES 7,E 24,Irdeto
SES 7,E 24,Videoguard
G-Sat 30,E 24,Irdeto
G-Sat 30,E 24,Videoguard
Nimiq 4,CTV 2 Vancouver Island,Nagravision
Nimiq 6,CTV 2 Vancouver Island,Nagravision
Anik G1,CTV 2 Vancouver Island,Digicipher
Eutelsat 36B,EBS,Irdeto
Astra 1L,AXN Black Deutschland,Cryptoworks
Astra 1L,AXN Black Deutschland,Irdeto
Astra 1L,AXN Black Deutschland,Mediaguard
Astra 1L,AXN Black Deutschland,Viaccess
G-Sat 24,India News Punjab,Irdeto
G-Sat 24,India News Punjab,Videoguard
Astra 1N,Toute l'Histoire,Nagravision
Astra 1N,Toute l'Histoire,Viaccess
Hotbird 13F,Toute l'Histoire,Nagravision
Hotbird 13F,Toute l'Histoire,Viaccess
Eutelsat 5 West B,Toute l'Histoire,Viaccess
SES 4,Toute l'Histoire,Mediaguard
SES 4,Toute l'Histoire,Nagravision
Intelsat 35e,Toute l'Histoire,Mediaguard
Hotbird 13F,ZDF,Panaccess
Astra 4A,ZDF,Panaccess
Amos 3,ZDF,Conax
SES 4,Chinguit TV,Mediaguard
SES 4,Chinguit TV,Nagravision
Eutelsat 3B,Alahad TV,BISS1
Hellas Sat 3,Nickelodeon Bulgaria,Bulcrypt
Hellas Sat 3,Nickelodeon Bulgaria,Conax
Hellas Sat 3,Nickelodeon Bulgaria,Nagravision
Eutelsat 36B,Nickelodeon Bulgaria,Irdeto
BulgariaSat 1,Nickelodeon Bulgaria,Bulcrypt
BulgariaSat 1,Nickelodeon Bulgaria,Conax
Hotbird 13F,Zona DAZN,Videoguard
Hotbird 13F,Zona DAZN,Nagravision
Eutelsat 9B,Zona DAZN,Nagravision
Eutelsat 9B,Zona DAZN,Videoguard
Eutelsat 5 West B,Zona DAZN,Nagravision
Eutelsat 5 West B,Zona DAZN,Videoguard
SES 6,SESC TV,Videoguard
Badr 7,MBC Maser,BISS1
Eutelsat 21B,MBC Maser,BISS1
Eutelsat 21B,MBC Maser,BISS2
Intelsat 20,BTV News,Irdeto
Apstar 6C,CCTV Weapon Technology Channel,Videoguard
LaoSat 1,Dharma TV,StreamGuard
LaoSat 1,Dharma TV,Topwell
LaoSat 1,Dharma TV,Unitend
Thaicom 6,Dharma TV,BISS1
Yamal 402,BetBoom,BISS
Telstar 18 Vantage,GMA TV,PowerVu
Koreasat 7,GMA TV,Conax
Koreasat 5A,GMA TV,Conax
SES 7,GMA TV,Conax
SES 7,GMA TV,Videoguard
SES 9,GMA TV,Conax
AsiaSat 9,TVBS News,Conax
AsiaSat 5,TVBS News,BISS
ST 2,TVBS News,Conax
Telstar 12 Vantage,Food Network Latinoamérica,VerimatrixB
Telstar 12 Vantage,Food Network Latinoamérica,StreamGuard
Intelsat 21,Food Network Latinoamérica,PowerVu
Amazonas 2,Food Network Latinoamérica,Nagravision
Star One C4,Food Network Latinoamérica,Tongfang
Arsat 2,Food Network Latinoamérica,Conax
TKSat 1,Food Network Latinoamérica,VerimatrixB
Eutelsat 117 West A,Food Network Latinoamérica,Conax
Eutelsat 117 West A,Food Network Latinoamérica,Verimatrix
Vinasat 1,Nhan Dan TV,Nagravision
Vinasat 2,Nhan Dan TV,Conax
Nimiq 5,BYU TV,Nagravision
EchoStar 11,BYU TV,Nagravision
Galaxy 30,BYU TV,PowerVu
Galaxy 37 (Horizons 4),BYU TV,PowerVu
Telstar 12 Vantage,AMC Andina,VerimatrixB
Telstar 12 Vantage,AMC Andina,StreamGuard
SES 6,AMC Andina,PowerVu
SES 7,Kompas TV,Nagravision
SES 7,Kompas TV,Videoguard
SES 9,Kompas TV,ABV
Measat 3b,Kompas TV,Irdeto
Measat 3b,Kompas TV,StreamGuard
Measat 3b,Kompas TV,Conax
Measat 3b,Kompas TV,NeotionSHL
ABS 2A,Kompas TV,ABV
ABS 2A,Kompas TV,NeotionSHL
Optus 10,Ant1 Pacific,Irdeto
Optus 10,Ant1 Pacific,Videoguard
SES 9,TVE Internacional Asia,Conax
ChinaSat 11,TVE Internacional Asia,Tongfang
Astra 4A,TVE Internacional Asia,PowerVu
Intelsat 35e,TVE Internacional Asia,PowerVu
SES 7,Enterr 10,Irdeto
SES 7,Enterr 10,Videoguard
ST 2,Enterr 10,VerimatrixB
ST 2,Enterr 10,Conax
ST 2,Enterr 10,Irdeto
ST 2,Enterr 10,Videoguard
Express AMU7,Match!,GoSTcrypt
Express AM5,Match!,Conax
Express AM5,Match!,Irdeto
Express AT2,Match!,Compunicate
Express AT2,Match!,Viaccess
Telstar 18 Vantage,Match!,Tongfang
Express AMU3,Match!,GoSTcrypt
Yamal 401,Match!,GoSTcrypt
Express 80,Match!,Conax
Express 80,Match!,Irdeto
ABS 2A,Match!,Irdeto
ABS 2A,Match!,Verimatrix
Express AT1,Match!,Exset
Express AT1,Match!,DRECrypt
Express AT1,Match!,DREGuard
Express AT1,Match!,Compunicate
Express AT1,Match!,Viaccess
Express AM6,Match!,GoSTcrypt
Yamal 601,Match!,GoSTcrypt
Cosmos 2520,Match!,GoSTcrypt
Express AM7,Match!,GoSTcrypt
Express AMU1,Match!,Compunicate
Express AMU1,Match!,Viaccess
Express AMU1,Match!,Exset
Express AMU1,Match!,DRECrypt
Express AMU1,Match!,DREGuard
Eutelsat 36B,Match!,Exset
Eutelsat 36B,Match!,DRECrypt
Eutelsat 36B,Match!,DREGuard
Eutelsat 36B,Match!,Compunicate
Eutelsat 36B,Match!,Viaccess
ABS 2,Channel 5,Irdeto
NSS 12,Channel 5,Irdeto
Hotbird 13F,Channel 5,Panaccess
Eutelsat 10B,Channel 5,Irdeto
Telstar 12 Vantage,Channel 5,BISS
Intelsat 901,Channel 5,BISS
Measat 3a,Zee Cinema Middle East,Conax
Express AMU1,Joy News,Irdeto
Eutelsat 36B,Joy News,Irdeto
Astra 2F,Joy News,Nagravision
Bangabandhu 1,Zee Action,Irdeto
SES 7,Zee Action,Irdeto
SES 7,Zee Action,Videoguard
AsiaSat 7,Zee Action,Conax
Measat 3a,Zee Action,Conax
G-Sat 30,Zee Action,Irdeto
