Satellite_Name,Channel_Name,Language
Galaxy 30,USA Network West,Eng
Galaxy 37 (Horizons 4),USA Network West,Eng
Hotbird 13F,Real Time Italia,Ita
Hotbird 13F,Real Time Italia,Eng
Eutelsat 9B,Real Time Italia,Ita
Eutelsat 117 West A,TV Cuatro 4.3,Spa
ST 2,9X Jhakaas,Mar
G-Sat 30,9X Jhakaas,Mar
SES 7,DD Bharati,Hin
G-Sat 15,DD Bharati,Hin
G-Sat 17,DD Bharati,Hin
Measat 3b,DD Bharati,Hin
ST 2,DD Bharati,Hin
G-Sat 10,DD Bharati,Hin
Amos 4,DD Bharati,Hin
Bangabandhu 1,BTV World,Ben
G-Sat 15,BTV World,Ben
Eutelsat 8 West B,Al Shasha Muslslat,Ara
AMC 6,University of Alaska TV,Eng
Astra 2F,Wesleyan TV,Eng
SES 5,Bet 9JA League 2,Eng
Nimiq 4,CTV 2 Vancouver Island,Eng
Nimiq 6,CTV 2 Vancouver Island,Eng
Anik G1,CTV 2 Vancouver Island,Eng
Anik F3,CTV 2 Vancouver Island,Eng
NSS 12,EBS,Amh
Eutelsat 36B,EBS,Amh
Eutelsat 7C,EBS,Amh
Astra 1L,AXN Black Deutschland,Ger
Astra 1L,AXN Black Deutschland,Eng
Astra 1N,SWR Fernsehen Rheinland-Pfalz,Ger
Astra 1N,SWR Fernsehen Rheinland-Pfalz,Qaa
Astra 1M,SWR Fernsehen Rheinland-Pfalz,Ger
Eutelsat 9B,Cusano News 7,Ita
G-Sat 17,India News Punjab,Pan
G-Sat 24,India News Punjab,Pan
Telkom 4,Sin Po TV,Ind
G-Sat 17,Popcorn Movies,Pan
Astra 1N,Toute l'Histoire,Fre
Hotbird 13F,Toute l'Histoire,Fre
Eutelsat 5 West B,Toute l'Histoire,Fre
SES 4,Toute l'Histoire,Fre
Intelsat 35e,Toute l'Histoire,Fre
Star One D1,TV Encontro das Águas,Por
Astra 1KR,ZDF,Ger
Astra 1KR,ZDF,Qaa
Astra 1N,ZDF,Ger
Hotbird 13F,ZDF,Ger
Astra 4A,ZDF,Ger
Amos 3,ZDF,Ger
Badr 8,Chinguit TV,Fre
SES 4,Chinguit TV,Fre
Eutelsat 3B,Alahad TV,Ara
Eutelsat 7 West A,Alahad TV,Ara
SES 6,Telecafé 2,Spa
Eutelsat 8 West B,Alrai TV,Ara
Hellas Sat 3,Nickelodeon Bulgaria,Bul
Hellas Sat 3,Nickelodeon Bulgaria,Eng
Eutelsat 36B,Nickelodeon Bulgaria,Bul
Eutelsat 36B,Nickelodeon Bulgaria,Eng
Eutelsat 36B,Nickelodeon Bulgaria,Ukr
BulgariaSat 1,Nickelodeon Bulgaria,Bul
SES 9,Ahsan TV,Ind
Telkom 4,Ahsan TV,Ind
TKSat 1,Poder de Dios TV,Spa
Eutelsat 16A,TV Slovenija 3,Slv
Türksat 3A,Tarim TV,Tur
Hotbird 13F,Zona DAZN,Ita
Eutelsat 9B,Zona DAZN,Ita
Eutelsat 5 West B,Zona DAZN,Ita
SES 6,SESC TV,Por
Star One C3,SESC TV,Por
Eutelsat 9B,Unian TV,Ukr
Astra 4A,Unian TV,Ukr
Horizons 3e,MBC Maser,Ara
AsiaSat 9,MBC Maser,Ara
Badr 7,MBC Maser,Ara
Eutelsat 21B,MBC Maser,Ara
Nilesat 201,MBC Maser,Ara
Eutelsat 8 West B,MBC Maser,Ara
