Channel_Name,Network_Name
AFN Prime Pacific,American Forces Network
AFN News,American Forces Network
AFN Sports,American Forces Network
KGTF,
BYU TV Global,
AFN Prime Atlantic,American Forces Network
AFN Spectrum,American Forces Network
AFN Sports 2,American Forces Network
AFN Family,American Forces Network
AFN Movie,American Forces Network
AFN Guide,American Forces Network
ABC Australia Pacific,
MTN Special Events,Anuvu
MSNBC International,Anuvu
Fox News Channel,Anuvu
CNBC US,Anuvu
Sky News International,Anuvu
BBC News,Anuvu
Prime Journey,Anuvu
Sky Sports News UK,Anuvu
Sport 24,Anuvu
Prime One,Anuvu
Sport 24 Extra,Anuvu
RTL Deutschland,Anuvu
Sky News Australia,Anuvu
TFC Middle East,Anuvu
Prime Favorites,Anuvu
BBC HD,Anuvu
TVE Internacional Europa,Anuvu
Canal 24 Horas,Anuvu
Australian Comedy & Drama Channel,Anuvu
ABC News,Anuvu
Food Network East,Anuvu
HGTV East,Anuvu
Travel Channel East,Anuvu
France 24 Français,Anuvu
Mediaset Italia,Anuvu
Hunan TV,Anuvu
CCTV 6,Anuvu
CCTV Entertainment,Anuvu
CCTV 4 America,Anuvu
National Geographic UK,Anuvu
LCP Assemblée Nationale,
Public Sénat,
Tahiti Nui TV,
Franceinfo:,
Polynésie 1ère,France TV
Nouvelle Calédonie 1ère,France TV
Wallis & Futuna 1ère,France TV
France 2,France TV
France 3,France TV
France 4,France TV
France 5,France TV
ARTE Français,France TV
Caledonia,
NBC TV,
EM TV,
CGTN,
Pasifika TV,
CGTN Arabic,
Hope Channel Australia,
FBC TV,Walesi
FBC Sports,Walesi
FBC 2,Walesi
Parliament of Fiji,Walesi
Fiji One,Walesi
Channel 2,Walesi
Mai TV,Walesi
Hope Channel Fiji,Walesi
Education Channel,Walesi
ABC TV NT,ABC NT
ABC Kids NT,ABC NT
ABC TV Plus NT,ABC NT
ABC Me NT,ABC NT
ABC TV WA,ABC WA
ABC Kids WA,ABC WA
ABC TV Plus WA,ABC WA
ABC Me WA,ABC WA
ABC TV Queensland,ABC Queensland
ABC Kids Queensland,ABC Queensland
ABC TV Plus Queensland,ABC Queensland
ABC Me Queensland,ABC Queensland
SBS WA,SBS WA
SBS Viceland WA,SBS WA
SBS Food WA,SBS WA
NITV,SBS WA
SBS WorldWatch,SBS WA
SBS Queensland,SBS Queensland
SBS Viceland Queensland,SBS Queensland
SBS Food Queensland,SBS Queensland
IBC 13,
Rai Italia Australia,MySat
