Satellite Position Longitude,Satellite Position Hemisphere,Satellite Name,Region,Launch Date,Launching Rocket
167.0,W,TDRS 8, Asia & Pacific,2000-06-30,Atlas AC-139
171.0,W,TDRS 10, Asia & Pacific,2002-12-05,Atlas 2A - AC-144
174.0,W,TDRS 11, Asia & Pacific,2013-01-31,Atlas 5 - V401
177.0,W,NSS 9, Asia & Pacific,2009-02-12,Ariane 5 - V187
177.0,W,Yamal 300K, Asia & Pacific,2012-11-02,Proton
180.0,E,Intelsat 18, Asia & Pacific,2011-10-05,Zenit 3
176.0,E,NSS 11, Asia & Pacific,2000-10-01,Proton
174.0,E,Eutelsat 174A, Asia & Pacific,2005-12-29,Proton
172.0,E,Eutelsat 172B, Asia & Pacific,2017-06-01,Ariane 5 - VA237
169.0,E,Horizons 3e, Asia & Pacific,2018-09-25,Ariane 5 - VA243
166.1,E,Intelsat 5, Asia & Pacific,1997-08-28,Proton
166.0,E,Luch 5A, Asia & Pacific,2011-12-11,Proton
166.0,E,Intelsat 19, Asia & Pacific,2012-06-01,Zenit 3
166.0,E,Galaxy 11, Asia & Pacific,1999-12-22,Ariane V125
163.5,E,Yamal 202, Asia & Pacific,2003-11-24,Proton
163.0,E,ChinaSat 19, Asia & Pacific,2022-11-05,Long March 3B
162.0,E,Superbird B3, Asia & Pacific,2018-04-05,Ariane 5 - VA242
160.0,E,Optus D2, Asia & Pacific,2007-10-05,Ariane 5
159.0,E,ABS 6, Asia & Pacific,1999-09-26,Proton
157.0,E,Intelsat 1R, Asia & Pacific,2000-11-16,Ariane 5 - V135
156.0,E,Optus C1, Asia & Pacific,2003-06-11,Ariane 5 - V161
156.0,E,Optus D3, Asia & Pacific,2009-08-21,Ariane 5 - V190
156.0,E,Optus 10, Asia & Pacific,2014-09-11,Ariane 5 - VA218
155.5,E,Intelsat 10 (drifting 0.4W (day)), Asia & Pacific,2001-05-15,Ariane 4 - V141
154.0,E,JCSAT 2B, Asia & Pacific,2016-05-06,Falcon 9
152.0,E,Optus D1, Asia & Pacific,2006-10-13,Ariane 5
150.5,E,BRIsat, Asia & Pacific,2016-06-18,Ariane 5 - VA230
150.0,E,JCSAT 1C, Asia & Pacific,2019-12-17,Falcon 9
147.5,E,AsiaSat 4, Asia & Pacific,2003-04-12,Atlas 3B - AC-205
146.0,E,Nusantara Satu, Asia & Pacific,2019-02-22,Falcon 9
145.0,E,Express AMU7, Asia & Pacific,2021-12-13,Proton
144.0,E,JCSAT 16, Asia & Pacific,2016-08-14,Falcon 9
144.0,E,Superbird C2, Asia & Pacific,2008-08-14,Ariane 5 - V185
142.0,E,Apstar 9, Asia & Pacific,2015-10-16,Xichang
140.0,E,Express AM5, Asia & Pacific,2013-12-26,Proton
140.0,E,Express AT2, Asia & Pacific,2014-03-15,Proton
138.0,E,Telstar 18 Vantage, Asia & Pacific,2018-09-10,Falcon 9
136.0,E,JCSAT 17, Asia & Pacific,2020-02-18,Ariane 5 - VA252
134.0,E,Apstar 6D, Asia & Pacific,2020-07-09,Long March 3B
134.0,E,Apstar 6C, Asia & Pacific,2018-05-03,Long March 3B
132.0,E,JCSAT 12, Asia & Pacific,2009-08-21,Ariane 5 - V190
132.0,E,JCSAT 5A, Asia & Pacific,2006-04-12,Zenit 3
132.0,E,Vinasat 1, Asia & Pacific,2008-04-18,Ariane 5
131.8,E,Vinasat 2, Asia & Pacific,2012-05-15,Ariane 5 - VA206
130.5,E,ChinaSat 6C, Asia & Pacific,2019-03-09,Long March 3B
130.0,E,ChinaSat 1D, Asia & Pacific,2021-11-26,Long March 3B
130.0,E,ChinaSat 2D, Asia & Pacific,2019-01-10,Long March 3B
128.5,E,LaoSat 1, Asia & Pacific,2015-11-20,Long March 3B
128.0,E,JCSAT 3A, Asia & Pacific,2006-08-11,Ariane 5
128.0,E,Cosmos 2526, Asia & Pacific,2018-04-18,Proton
125.0,E,ChinaSat 26, Asia & Pacific,2023-02-23,Long March 3B
125.0,E,ChinaSat 6D, Asia & Pacific,2022-04-15,Long March 3B
124.0,E,JCSAT 4B, Asia & Pacific,2012-05-15,Ariane 5 - VA206
122.0,E,AsiaSat 9, Asia & Pacific,2017-09-28,Proton
121.5,E,Hylas 1 (drifting west), Asia & Pacific,2010-11-26,Ariane 5 - V198
120.0,E,AsiaSat 6 (Thaicom 7), Asia & Pacific,2014-09-07,Falcon 9
119.5,E,Thaicom 4, Asia & Pacific,2005-08-11,Ariane
119.1,E,Bangabandhu 1, Asia & Pacific,2018-05-11,Falcon 9
118.0,E,Telkom 3S, Asia & Pacific,2017-02-14,Ariane 5 - VA235
116.0,E,Koreasat 6, Asia & Pacific,2010-12-29,Ariane 5 - V199
116.0,E,Koreasat 7, Asia & Pacific,2017-05-04,Ariane 5 - VA236
115.5,E,ChinaSat 6B, Asia & Pacific,2007-07-05,Long March 3B
115.5,E,ChinaSat 6E, Asia & Pacific,2023-11-09,Long March 3B
113.0,E,Koreasat 5, Asia & Pacific,2006-08-22,Zenit 3
113.0,E,Koreasat 5A, Asia & Pacific,2017-10-30,Falcon 9
113.0,E,Merah Putih 2, Asia & Pacific,2024-02-20,Falcon 9
110.5,E,ChinaSat 10, Asia & Pacific,2011-06-20,Long March 3B
110.5,E,ChinaSat 16, Asia & Pacific,2017-04-12,Long March 3BE
110.0,E,BSAT 4B, Asia & Pacific,2020-08-15,Ariane 5 - VA253
110.0,E,BSAT 3A, Asia & Pacific,2007-08-14,Ariane 5 - V177
110.0,E,BSAT 3C (JCSAT 110R), Asia & Pacific,2011-08-06,Ariane 5 - VA203
110.0,E,JCSAT 15, Asia & Pacific,2016-12-21,Ariane 5 - VA234
110.0,E,BSAT 4A, Asia & Pacific,2017-09-29,Ariane 5 - VA239
110.0,E,BSAT 3B, Asia & Pacific,2010-10-28,Ariane 5 - V197
108.2,E,SES 7, Asia & Pacific,2009-05-16,Proton
108.2,E,SES 9, Asia & Pacific,2016-03-04,Falcon 9
108.0,E,Telkom 4, Asia & Pacific,2018-08-07,Falcon 9
105.5,E,AsiaSat 7, Asia & Pacific,2011-11-25,Proton
103.5,E,ChinaSat 2C, Asia & Pacific,2015-11-03,Long March 3B
103.0,E,Express AMU3, Asia & Pacific,2021-12-13,Proton
