Satellite_Name,Channel_Name,Beam,Freq_Num,Freq_Polarisation,SR,FEC,System_Standard,System_Modulation,Video_Compression,Video_Definition
Galaxy 30,USA Network West,North America,3860,V,30000.0,5/6,DVB-S2,8PSK,MPEG-4,SD
Galaxy 30,USA Network West,North America,4080,H,30000.0,5/6,DVB-S2,8PSK,MPEG-4,HD
Galaxy 30,USA Network West,North America,4080,H,30000.0,5/6,DVB-S2,8PSK,MPEG-2,SD
Galaxy 37 (Horizons 4),USA Network West,North America C,3940,H,30000.0,5/6,DVB-S2,8PSK,MPEG-4,SD
Hotbird 13F,Real Time Italia,Wide,11258,H,27500.0,3/4,DVB-S2,8PSK,MPEG-4,HD
Eutelsat 9B,Real Time Italia,Italy,12341,V,31400.0,5/6,DVB-S2,8PSK,MPEG-4,HD 1080
Eutelsat 117 West A,TV Cuatro 4.3,Hemi C,3899,H,7500.0,5/6,DVB-S2,8PSK,MPEG-2,SD
ST 2,9X Jhakaas,India Continent,11050,H,30000.0,5/6,DVB-S2,8PSK,MPEG-4,SD
ST 2,9X Jhakaas,India Continent,11672,V,44995.0,5/6,DVB-S2,8PSK,MPEG-4,SD
G-Sat 30,9X Jhakaas,C,3805,H,28500.0,5/6,DVB-S2,8PSK,MPEG-4,SD
G-Sat 30,9X Jhakaas,Ku,11590,H,32720.0,3/5,DVB-S2,8PSK,MPEG-4,SD
SES 7,DD Bharati,South Asia,11640,V,30000.0,3/4,DVB-S2,8PSK,MPEG-4,SD
G-Sat 15,DD Bharati,India,11510,V,29500.0,3/4,DVB-S,,MPEG-2,SD
G-Sat 17,DD Bharati,C,3925,H,27500.0,3/4,DVB-S,,MPEG-2,SD
Measat 3b,DD Bharati,South Asia,12643,V,32000.0,5/6,DVB-S,,MPEG-4,SD
ST 2,DD Bharati,India Continent,11609,H,44995.0,3/4,DVB-S2,8PSK,MPEG-4,SD
G-Sat 10,DD Bharati,C,3885,V,30000.0,3/4,DVB-S2,8PSK,MPEG-4,SD
Amos 4,DD Bharati,Nepal,11235,V,45000.0,2/3,DVB-S2,QPSK,MPEG-4,SD
Bangabandhu 1,BTV World,Beam 5,4660,V,17500.0,4/5,DVB-S2,8PSK,MPEG-4,SD
Bangabandhu 1,BTV World,Beam 5,4720,H,30000.0,3/4,DVB-S2,8PSK,MPEG-2,SD
Bangabandhu 1,BTV World,Beam 1,11265,V,30000.0,2/3,DVB-S2,8PSK,MPEG-4,SD
Bangabandhu 1,BTV World,Beam 1,11725,V,17500.0,3/4,DVB-S2,QPSK,MPEG-2,SD
G-Sat 15,BTV World,India,11630,V,30000.0,3/5,DVB-S2,8PSK,MPEG-4,SD
Eutelsat 8 West B,Al Shasha Muslslat,East,11678,V,27500.0,7/8,DVB-S,,MPEG-2,SD
Eutelsat 8 West B,Al Shasha Muslslat,East,12563,V,27500.0,7/8,DVB-S,,MPEG-2,SD
AMC 6,University of Alaska TV,North America,4056,H,13250.0,3/4,DVB-S,,MPEG-2,SD
SES 7,E 24,South Asia,11600,H,30000.0,3/4,DVB-S2,8PSK,MPEG-4,SD
G-Sat 30,E 24,C,4133,H,11888.0,3/4,DVB-S2,8PSK,MPEG-4,SD
G-Sat 30,E 24,Ku,11090,H,32720.0,3/4,DVB-S2,8PSK,MPEG-4,SD
G-Sat 30,E 24,Ku,11170,H,32720.0,3/4,DVB-S2,8PSK,MPEG-4,SD
Astra 2F,Wesleyan TV,West Africa,11595,V,30000.0,5/6,DVB-S2,QPSK,MPEG-4,SD
SES 5,Bet 9JA League 2,Sub Saharan Africa,12054,V,30000.0,3/4,DVB-S2,8PSK,MPEG-4,SD
Nimiq 4,CTV 2 Vancouver Island,Canada,12516,R,21500.0,2/3,DVB-S,8PSK Turbo,MPEG-4,HD
Nimiq 6,CTV 2 Vancouver Island,Canada,12239,L,20000.0,7/8,DVB-S,,MPEG-2,SD
Anik G1,CTV 2 Vancouver Island,North America Extended Ku,11122,H,22000.0,8/9,Digicipher 2,8PSK,HEVC,HD
Anik F3,CTV 2 Vancouver Island,North America C,4030,V,15000.0,3/4,DVB-S2,QPSK,MPEG-4,HD 720
G-Sat 30,Public First,C,3805,H,28500.0,5/6,DVB-S2,8PSK,MPEG-4,SD
G-Sat 30,Public First,C,4080,H,3200.0,5/6,DVB-S2,8PSK,MPEG-4,SD
NSS 12,EBS,East Africa,11105,H,45000.0,5/6,DVB-S2,QPSK,MPEG-4,HD
NSS 12,EBS,East Africa,11545,H,45000.0,5/6,DVB-S2,QPSK,MPEG-2,SD
Eutelsat 36B,EBS,Sub-Sahara Africa,11919,V,27500.0,3/4,DVB-S,,MPEG-2,SD
Eutelsat 7C,EBS,Ethiopia,11554,H,30000.0,,DVB-S2,QPSK,MPEG-4,HD
Astra 1L,AXN Black Deutschland,Europe Ku,12515,H,22000.0,5/6,DVB-S,,MPEG-4,SD
Astra 1N,SWR Fernsehen Rheinland-Pfalz,Pan Europe,11494,H,22000.0,2/3,DVB-S2,8PSK,MPEG-4,HD
Astra 1M,SWR Fernsehen Rheinland-Pfalz,Europe,12110,H,27500.0,3/4,DVB-S,,MPEG-2,SD
Eutelsat 9B,Cusano News 7,Italy,12111,V,31400.0,2/3,DVB-S2,16APSK,MPEG-4,HD 1080
G-Sat 17,India News Punjab,C,4074,V,12500.0,8/9,DVB-S2,8PSK,MPEG-4,SD
G-Sat 24,India News Punjab,,11920,V,32720.0,3/4,DVB-S2,8PSK,MPEG-4,SD
Telkom 4,Sin Po TV,SE Asia,4020,V,32727.0,2/3,DVB-S2,QPSK,MPEG-4,SD
G-Sat 17,Popcorn Movies,C,4160,H,8444.0,3/4,DVB-S2,8PSK,MPEG-4,SD
Astra 1N,Toute l'Histoire,Pan Europe,12285,V,29700.0,2/3,DVB-S2,8PSK,MPEG-4,HD
Hotbird 13F,Toute l'Histoire,Wide,12692,H,27500.0,3/4,DVB-S2,8PSK,MPEG-4,SD
Eutelsat 5 West B,Toute l'Histoire,Transalpine,11512,V,29950.0,2/3,DVB-S2,8PSK,MPEG-4,SD
SES 4,Toute l'Histoire,West Africa,11551,V,45000.0,3/4,DVB-S2,QPSK,HEVC,SD
Intelsat 35e,Toute l'Histoire,Caribbean,11675,H,30000.0,2/3,DVB-S2,8PSK,MPEG-4,SD
Star One D1,TV Encontro das Águas,Brazil C,3925,H,4665.0,5/6,DVB-S2,8PSK,MPEG-4,1seg
Star One D1,TV Encontro das Águas,Brazil C,3925,H,4665.0,5/6,DVB-S2,8PSK,MPEG-4,HD 1080
Astra 1KR,ZDF,Europe,11362,H,22000.0,2/3,DVB-S2,8PSK,MPEG-4,HD
Astra 1N,ZDF,Pan Europe,11954,H,27500.0,3/4,DVB-S,,MPEG-2,SD
Hotbird 13F,ZDF,Wide,11096,H,30000.0,3/4,DVB-S2,8PSK,MPEG-4,HD 720
Astra 4A,ZDF,Sub Saharan Africa,12565,V,30000.0,5/6,DVB-S2,QPSK,MPEG-4,HD
Amos 3,ZDF,Europe,10842,V,30000.0,3/4,DVB-S2,8PSK,MPEG-4,SD
Badr 8,Chinguit TV,EMENA FSS,12563,V,27500.0,2/3,DVB-S2,8PSK,MPEG-4,SD
SES 4,Chinguit TV,West Africa,12650,V,30000.0,3/4,DVB-S2,QPSK,HEVC,SD
Eutelsat 3B,Alahad TV,Europe,11694,H,2963.0,5/6,DVB-S2,8PSK,MPEG-4,HD
Eutelsat 7 West A,Alahad TV,MENA,10892,H,27500.0,7/8,DVB-S,,MPEG-4,HD 1080
SES 6,Telecafé 2,Hemi,4098,L,5453.0,3/4,DVB-S2,8PSK,MPEG-4,SD
Eutelsat 8 West B,Alrai TV,East,11678,V,27500.0,7/8,DVB-S,,MPEG-4,HD 1080
Hellas Sat 3,Nickelodeon Bulgaria,Europe,12213,V,30000.0,7/8,DVB-S,,MPEG-2,SD
Eutelsat 36B,Nickelodeon Bulgaria,Eurasia,11345,H,30000.0,3/4,DVB-S2,8PSK,MPEG-2,SD
BulgariaSat 1,Nickelodeon Bulgaria,Europe,12207,V,30000.0,2/3,DVB-S2,8PSK,MPEG-4,SD
Al Yah 1,GEM Rubix +,East,12034,V,27500.0,3/4,DVB-S2,8PSK,MPEG-4,HD 1080
SES 9,Ahsan TV,SE Asia,11861,H,45000.0,3/5,DVB-S2,8PSK,MPEG-4,SD
Telkom 4,Ahsan TV,SE Asia,3773,H,10280.0,3/4,DVB-S2,8PSK,MPEG-4,SD
TKSat 1,Poder de Dios TV,Ku FSS,11866,V,7500.0,3/4,DVB-S2,8PSK,MPEG-4,SD
Eutelsat 16A,TV Slovenija 3,Europe B,11637,V,30000.0,2/3,DVB-S2,8PSK,MPEG-4,HD 1080
Türksat 3A,Tarim TV,West,11527,V,2222.0,3/4,DVB-S2,8PSK,MPEG-4,HD 1080
Hotbird 13F,Zona DAZN,Wide,11843,V,29900.0,5/6,DVB-S2,QPSK,MPEG-4,HD
Hotbird 13F,Zona DAZN,Wide,11919,V,29900.0,2/3,DVB-S2,QPSK,MPEG-4,HD
Eutelsat 9B,Zona DAZN,Italy,12111,V,31400.0,2/3,DVB-S2,16APSK,MPEG-4,HD 1080
Eutelsat 5 West B,Zona DAZN,Transalpine,12585,H,35500.0,2/3,DVB-S2,8PSK,MPEG-4,HD
SES 6,SESC TV,South Cone,11480,V,30000.0,1/2,DVB-S2,8PSK,MPEG-4,SD
Star One C3,SESC TV,South America,3932,V,7500.0,3/4,DVB-S,,MPEG-4,HD
Eutelsat 9B,Unian TV,Nordic & Eastern,12226,V,30000.0,5/6,DVB-S2,8PSK,MPEG-4,SD
Astra 4A,Unian TV,Europe BSS,11766,H,30000.0,2/3,DVB-S2,8PSK,MPEG-4,SD
Horizons 3e,MBC Maser,,11003,H,28800.0,2/3,DVB-S2,QPSK,MPEG-4,SD
AsiaSat 9,MBC Maser,Australasia,12415,V,40000.0,7/8,DVB-S,,MPEG-4,SD
Badr 7,MBC Maser,East MENA,11270,V,27500.0,5/6,DVB-S,,MPEG-2,SD
Eutelsat 21B,MBC Maser,Wide,11559,V,5000.0,5/6,DVB-S2,QPSK,MPEG-2,SD
Eutelsat 21B,MBC Maser,Wide,11564,V,3333.0,5/6,DVB-S2,QPSK,MPEG-4,HD
Nilesat 201,MBC Maser,Middle East,12015,V,27500.0,5/6,DVB-S,,MPEG-2,SD
Eutelsat 8 West B,MBC Maser,East,11471,V,27500.0,5/6,DVB-S,,MPEG-2,SD
Express AT1,Promo TV,Wide,12188,L,27500.0,3/4,DVB-S2,8PSK,MPEG-4,SD
Express AMU1,Promo TV,Fixed 1,12226,L,27500.0,3/4,DVB-S,,MPEG-4,SD
Intelsat 20,BTV News,South Africa,11474,H,30000.0,5/6,DVB-S,,MPEG-2,SD
Intelsat 20,BTV News,Europe & Africa,12634,V,16170.0,5/6,DVB-S2,QPSK,MPEG-4,SD
Intelsat 20,BTV News,Europe & Africa,12634,V,16170.0,5/6,DVB-S2,QPSK,MPEG-4,1seg
Intelsat 20,BTV News,Europe & Africa,12657,V,4883.0,3/4,DVB-S,,MPEG-2,SD
Apstar 6C,CCTV Weapon Technology Channel,C,3940,V,28800.0,3/4,DVB-S2,8PSK,AVS+,HD 1080
Eutelsat 7 West A,Hodhod Arabic TV,MENA,11641,H,27500.0,3/4,DVB-S2,8PSK,MPEG-2,SD
Al Yah 1,Khane Film,East,11766,V,27500.0,7/8,DVB-S,,MPEG-2,SD
Arsat 1,Canal 10 TV Río Negro,Argentina,12103,H,2700.0,3/4,DVB-S,,MPEG-2,SD
LaoSat 1,Dharma TV,Ku,10790,V,40000.0,3/4,DVB-S2,8PSK,MPEG-4,SD
Thaicom 6,Dharma TV,SE Asia C,3840,H,30000.0,3/4,DVB-S,,MPEG-2,SD
Yamal 402,BetBoom,Russia,11345,V,30000.0,3/4,DVB-S2,8PSK,MPEG-4,HD 1080
Telstar 18 Vantage,GMA TV,Asia & Australia & Pacific,3745,H,4583.0,3/4,DVB-S2,QPSK,MPEG-4,SD
Telstar 18 Vantage,GMA TV,Asia & Australia & Pacific,3847,H,8000.0,3/4,DVB-S2,QPSK,MPEG-4,SD
Telstar 18 Vantage,GMA TV,Asia & Australia & Pacific,3847,H,8000.0,3/4,DVB-S2,QPSK,MPEG-4,1seg
Koreasat 7,GMA TV,Philippines,12719,H,45000.0,3/4,DVB-S2,8PSK,MPEG-4,SD
Koreasat 5A,GMA TV,NE Asia,12310,V,30000.0,3/4,DVB-S2,8PSK,MPEG-4,SD
SES 7,GMA TV,NE Asia,11685,H,18750.0,7/8,DVB-S,,MPEG-2,SD
SES 9,GMA TV,NE Asia,12711,H,45000.0,5/6,DVB-S2,8PSK,MPEG-4,SD
AsiaSat 9,TVBS News,Global,3971,V,15650.0,3/4,DVB-S2,8PSK,MPEG-4,HD 1080
AsiaSat 5,TVBS News,East Asia,12656,V,4000.0,5/6,DVB-S2,8PSK,MPEG-4,HD
AsiaSat 5,TVBS News,East Asia,12656,V,4000.0,5/6,DVB-S2,8PSK,MPEG-2,SD
ST 2,TVBS News,Regional,3629,H,24700.0,3/4,DVB-S2,8PSK,MPEG-4,HD
Hotbird 13G,Svoboda,Wide,10949,V,27500.0,2/3,DVB-S2,8PSK,MPEG-4,HD 1080
Eutelsat 9B,Radio Roma,Italy,12226,V,31400.0,2/3,DVB-S2,16APSK,MPEG-4,HD 1080
Nilesat 201,Dijlah TV,Middle East,12034,H,27500.0,5/6,DVB-S,,MPEG-2,SD
Eutelsat 7 West A,Dijlah TV,MENA,11258,H,27500.0,5/6,DVB-S2,8PSK,MPEG-4,HD 1080
Telstar 12 Vantage,Food Network Latinoamérica,Pan America,11795,H,45000.0,4/5,DVB-S2,QPSK,MPEG-4,HD
Intelsat 21,Food Network Latinoamérica,West hemi,3880,V,30000.0,8/9,DVB-S2,8PSK,MPEG-4,HD 1080
Amazonas 2,Food Network Latinoamérica,South America,11262,H,30000.0,2/3,DVB-S2,8PSK,MPEG-4,HD
Star One C4,Food Network Latinoamérica,West Latin America,10982,H,15000.0,2/3,DVB-S2,QPSK,MPEG-4,SD
Arsat 2,Food Network Latinoamérica,South America,11679,V,30000.0,1/2,DVB-S2,8PSK,HEVC,
TKSat 1,Food Network Latinoamérica,Ku FSS,11600,V,30000.0,3/4,DVB-S2,8PSK,,HD
Eutelsat 117 West A,Food Network Latinoamérica,Hemi Ku,12080,H,30000.0,,DVB-S2,,MPEG-4,SD
Vinasat 1,Nhan Dan TV,Ku,10968,H,28800.0,3/4,DVB-S2,8PSK,MPEG-4,HD
Vinasat 1,Nhan Dan TV,Ku,11589,H,28800.0,3/4,DVB-S2,8PSK,MPEG-4,SD
Vinasat 2,Nhan Dan TV,Ku,11262,V,30000.0,3/4,DVB-S2,8PSK,MPEG-4,SD
Nimiq 5,BYU TV,Conus,12574,R,21500.0,2/3,DVB-S,8PSK,MPEG-4,SD
Galaxy 32,BYU TV,North America,4068,V,4250.0,2/3,DVB-S2,8PSK,MPEG-4,HD 1080
EchoStar 11,BYU TV,Conus,12282,R,21500.0,2/3,DVB-S,8PSK,MPEG-4,SD
Eutelsat 117 West A,BYU TV,Hemi Ku,12151,H,2678.0,2/3,DVB-S2,8PSK,MPEG-4,HD 1080
Galaxy 30,BYU TV,North America,3860,V,30000.0,5/6,DVB-S2,8PSK,MPEG-4,SD
Galaxy 37 (Horizons 4),BYU TV,North America C,3940,H,30000.0,5/6,DVB-S2,8PSK,MPEG-4,SD
NSS 12,Hadiya TV,East Africa,11105,H,45000.0,5/6,DVB-S2,QPSK,MPEG-4,SD
Telstar 12 Vantage,AMC Andina,Pan America,11857,H,45000.0,4/5,DVB-S2,QPSK,MPEG-4,SD
SES 6,AMC Andina,Hemi,4095,R,30000.0,5/6,DVB-S2,8PSK,MPEG-4,HD
SES 7,Kompas TV,Indonesia,2565,V,22500.0,3/4,DVB-S2,8PSK,MPEG-4,SD
SES 9,Kompas TV,SE Asia,11921,V,45000.0,3/5,DVB-S2,8PSK,MPEG-4,SD
Telkom 4,Kompas TV,SE Asia,3752,H,3083.0,3/4,DVB-S2,8PSK,MPEG-4,HD 1080
Measat 3b,Kompas TV,Indonesia,12603,V,30000.0,3/5,DVB-S2,8PSK,MPEG-4,HD 1080
Measat 3b,Kompas TV,Indonesia,12643,H,31000.0,2/3,DVB-S2,8PSK,MPEG-4,SD
ABS 2A,Kompas TV,SE Asia 1,12290,V,44000.0,3/4,DVB-S2,8PSK,MPEG-4,SD
Thaicom 6,MVM,SE Asia Ku,12343,V,45000.0,3/4,DVB-S2,,MPEG-4,SD
